docname,topic,proportion
shorten_highTemp.txt:9,000,1.0
shorten_highTemp.txt:44,000,1.0
shorten_highTemp.txt:79,003,1.0
shorten_highTemp.txt:114,004,1.0
shorten_highTemp.txt:149,002,1.0
shorten_highTemp.txt:184,002,1.0
shorten_highTemp.txt:219,001,1.0
shorten_highTemp.txt:254,005,1.0
shorten_highTemp.txt:289,003,1.0
shorten_highTemp.txt:324,000,1.0
shorten_highTemp.txt:359,000,1.0
shorten_highTemp.txt:394,003,1.0
shorten_highTemp.txt:429,000,1.0
shorten_highTemp.txt:464,006,1.0
shorten_highTemp.txt:499,001,1.0
shorten_highTemp.txt:534,000,1.0
shorten_highTemp.txt:569,000,1.0
shorten_highTemp.txt:604,001,1.0
shorten_highTemp.txt:639,000,1.0
shorten_highTemp.txt:674,012,1.0
shorten_highTemp.txt:709,008,1.0
shorten_highTemp.txt:744,000,0.613196
shorten_highTemp.txt:744,001,0.386804
shorten_highTemp.txt:779,010,1.0
shorten_highTemp.txt:814,001,1.0
shorten_highTemp.txt:849,001,1.0
shorten_highTemp.txt:884,000,1.0
shorten_highTemp.txt:919,001,1.0
shorten_highTemp.txt:954,003,1.0
shorten_highTemp.txt:989,003,1.0
shorten_highTemp.txt:1024,010,1.0
shorten_highTemp.txt:1059,003,1.0
shorten_highTemp.txt:1094,002,1.0
shorten_highTemp.txt:1129,004,1.0
shorten_highTemp.txt:1164,000,1.0
shorten_highTemp.txt:1199,000,1.0
shorten_highTemp.txt:1234,006,1.0
shorten_highTemp.txt:1269,000,1.0
shorten_highTemp.txt:1304,000,1.0
shorten_highTemp.txt:1339,003,1.0
shorten_highTemp.txt:1374,003,1.0
shorten_highTemp.txt:1409,001,1.0
shorten_highTemp.txt:1444,003,1.0
shorten_highTemp.txt:1479,000,1.0
shorten_highTemp.txt:1514,003,1.0
shorten_highTemp.txt:1549,004,1.0
shorten_highTemp.txt:1584,005,1.0
shorten_highTemp.txt:1619,001,1.0
shorten_highTemp.txt:1654,004,1.0
shorten_highTemp.txt:1689,002,1.0
shorten_highTemp.txt:1724,000,1.0
shorten_highTemp.txt:1759,002,1.0
shorten_highTemp.txt:1794,001,1.0
shorten_highTemp.txt:1829,012,1.0
shorten_highTemp.txt:1864,001,1.0
shorten_highTemp.txt:1899,003,1.0
shorten_highTemp.txt:1934,012,1.0
shorten_highTemp.txt:1969,001,1.0
shorten_highTemp.txt:2004,001,1.0
shorten_highTemp.txt:2039,000,1.0
shorten_highTemp.txt:2074,012,1.0
shorten_highTemp.txt:2109,017,1.0
shorten_highTemp.txt:2144,000,1.0
shorten_highTemp.txt:2179,001,1.0
shorten_highTemp.txt:2214,000,1.0
shorten_highTemp.txt:2249,000,0.613196
shorten_highTemp.txt:2249,001,0.386804
shorten_highTemp.txt:2284,001,1.0
shorten_highTemp.txt:2319,000,1.0
shorten_highTemp.txt:2354,003,1.0
shorten_highTemp.txt:2389,012,1.0
shorten_highTemp.txt:2424,009,1.0
shorten_highTemp.txt:2459,002,1.0
shorten_highTemp.txt:2513,003,1.0
shorten_highTemp.txt:2548,000,1.0
shorten_highTemp.txt:2583,003,1.0
shorten_highTemp.txt:2618,002,1.0
shorten_highTemp.txt:2653,007,1.0
shorten_highTemp.txt:2688,012,1.0
shorten_highTemp.txt:2723,003,1.0
shorten_highTemp.txt:2758,000,0.613196
shorten_highTemp.txt:2758,001,0.386804
shorten_highTemp.txt:2793,008,1.0
shorten_highTemp.txt:2828,000,1.0
shorten_highTemp.txt:2863,006,1.0
shorten_highTemp.txt:2898,003,1.0
shorten_highTemp.txt:2933,001,1.0
shorten_highTemp.txt:2968,001,1.0
shorten_highTemp.txt:3003,000,1.0
shorten_highTemp.txt:3038,000,1.0
shorten_highTemp.txt:3073,005,1.0
shorten_highTemp.txt:3108,001,1.0
shorten_highTemp.txt:3143,000,1.0
shorten_highTemp.txt:3178,000,1.0
shorten_highTemp.txt:3213,002,1.0
shorten_highTemp.txt:3248,000,1.0
shorten_highTemp.txt:3283,001,1.0
shorten_highTemp.txt:3318,000,1.0
shorten_highTemp.txt:3353,007,1.0
shorten_highTemp.txt:3388,001,1.0
shorten_highTemp.txt:3423,003,1.0
shorten_highTemp.txt:3458,001,1.0
shorten_highTemp.txt:3493,000,1.0
shorten_highTemp.txt:3528,003,1.0
shorten_highTemp.txt:3563,000,1.0
shorten_highTemp.txt:3598,003,1.0
shorten_highTemp.txt:3633,000,1.0
shorten_highTemp.txt:3668,004,1.0
shorten_highTemp.txt:3703,005,1.0
shorten_highTemp.txt:3738,002,1.0
shorten_highTemp.txt:3773,000,1.0
shorten_highTemp.txt:3808,006,1.0
shorten_highTemp.txt:3843,000,0.613196
shorten_highTemp.txt:3843,001,0.386804
shorten_highTemp.txt:3878,002,1.0
shorten_highTemp.txt:3913,000,0.613196
shorten_highTemp.txt:3913,001,0.386804
shorten_highTemp.txt:3948,001,1.0
shorten_highTemp.txt:3983,007,1.0
shorten_highTemp.txt:4018,000,1.0
shorten_highTemp.txt:4053,000,1.0
shorten_highTemp.txt:4088,000,1.0
shorten_highTemp.txt:4123,003,1.0
shorten_highTemp.txt:4158,000,1.0
shorten_highTemp.txt:4193,000,1.0
shorten_highTemp.txt:4228,001,1.0
shorten_highTemp.txt:4263,004,1.0
shorten_highTemp.txt:4298,001,1.0
shorten_highTemp.txt:4333,001,1.0
shorten_highTemp.txt:4368,001,1.0
shorten_highTemp.txt:4403,001,1.0
shorten_highTemp.txt:4438,001,1.0
shorten_highTemp.txt:4473,003,1.0
shorten_highTemp.txt:4508,000,1.0
shorten_highTemp.txt:4543,012,1.0
shorten_highTemp.txt:4578,002,1.0
shorten_highTemp.txt:4613,000,1.0
shorten_highTemp.txt:4648,001,1.0
shorten_highTemp.txt:4683,003,1.0
shorten_highTemp.txt:4718,006,1.0
shorten_highTemp.txt:4753,003,1.0
shorten_highTemp.txt:4788,005,1.0
shorten_highTemp.txt:4823,010,1.0
shorten_highTemp.txt:4858,000,1.0
shorten_highTemp.txt:4893,000,1.0
shorten_highTemp.txt:4928,000,1.0
shorten_highTemp.txt:4963,003,1.0
shorten_highTemp.txt:4998,001,1.0
shorten_highTemp.txt:14,001,1.0
shorten_highTemp.txt:49,003,1.0
shorten_highTemp.txt:84,003,1.0
shorten_highTemp.txt:119,001,1.0
shorten_highTemp.txt:154,006,1.0
shorten_highTemp.txt:189,000,1.0
shorten_highTemp.txt:224,002,1.0
shorten_highTemp.txt:259,000,1.0
shorten_highTemp.txt:294,001,1.0
shorten_highTemp.txt:329,003,1.0
shorten_highTemp.txt:364,000,0.613196
shorten_highTemp.txt:364,001,0.386804
shorten_highTemp.txt:399,005,1.0
shorten_highTemp.txt:434,007,1.0
shorten_highTemp.txt:469,006,1.0
shorten_highTemp.txt:504,009,1.0
shorten_highTemp.txt:539,000,1.0
shorten_highTemp.txt:574,000,1.0
shorten_highTemp.txt:609,003,1.0
shorten_highTemp.txt:644,003,1.0
shorten_highTemp.txt:679,000,1.0
shorten_highTemp.txt:714,002,1.0
shorten_highTemp.txt:749,006,1.0
shorten_highTemp.txt:784,000,1.0
shorten_highTemp.txt:819,000,1.0
shorten_highTemp.txt:854,007,1.0
shorten_highTemp.txt:889,003,1.0
shorten_highTemp.txt:924,001,1.0
shorten_highTemp.txt:959,000,1.0
shorten_highTemp.txt:994,000,1.0
shorten_highTemp.txt:1029,000,1.0
shorten_highTemp.txt:1064,001,1.0
shorten_highTemp.txt:1099,003,1.0
shorten_highTemp.txt:1134,003,1.0
shorten_highTemp.txt:1169,002,1.0
shorten_highTemp.txt:1204,002,1.0
shorten_highTemp.txt:1239,001,1.0
shorten_highTemp.txt:1274,000,1.0
shorten_highTemp.txt:1309,002,1.0
shorten_highTemp.txt:1344,000,0.613196
shorten_highTemp.txt:1344,001,0.386804
shorten_highTemp.txt:1379,001,1.0
shorten_highTemp.txt:1414,002,1.0
shorten_highTemp.txt:1449,000,1.0
shorten_highTemp.txt:1484,002,1.0
shorten_highTemp.txt:1519,002,1.0
shorten_highTemp.txt:1554,002,1.0
shorten_highTemp.txt:1589,004,1.0
shorten_highTemp.txt:1624,004,1.0
shorten_highTemp.txt:1659,003,1.0
shorten_highTemp.txt:1694,004,1.0
shorten_highTemp.txt:1729,009,1.0
shorten_highTemp.txt:1764,002,1.0
shorten_highTemp.txt:1799,000,0.613196
shorten_highTemp.txt:1799,001,0.386804
shorten_highTemp.txt:1834,003,1.0
shorten_highTemp.txt:1869,002,1.0
shorten_highTemp.txt:1904,000,1.0
shorten_highTemp.txt:1939,001,1.0
shorten_highTemp.txt:1974,003,1.0
shorten_highTemp.txt:2009,001,1.0
shorten_highTemp.txt:2044,010,1.0
shorten_highTemp.txt:2079,000,1.0
shorten_highTemp.txt:2114,003,1.0
shorten_highTemp.txt:2149,000,1.0
shorten_highTemp.txt:2184,003,1.0
shorten_highTemp.txt:2219,001,1.0
shorten_highTemp.txt:2254,000,1.0
shorten_highTemp.txt:2289,001,1.0
shorten_highTemp.txt:2324,000,1.0
shorten_highTemp.txt:2359,001,1.0
shorten_highTemp.txt:2394,000,1.0
shorten_highTemp.txt:2429,003,1.0
shorten_highTemp.txt:2464,002,1.0
shorten_highTemp.txt:2518,001,1.0
shorten_highTemp.txt:2553,000,1.0
shorten_highTemp.txt:2588,002,1.0
shorten_highTemp.txt:2623,003,1.0
shorten_highTemp.txt:2658,003,1.0
shorten_highTemp.txt:2693,002,1.0
shorten_highTemp.txt:2728,000,1.0
shorten_highTemp.txt:2763,010,1.0
shorten_highTemp.txt:2798,000,1.0
shorten_highTemp.txt:2833,006,1.0
shorten_highTemp.txt:2868,001,1.0
shorten_highTemp.txt:2903,002,1.0
shorten_highTemp.txt:2938,000,1.0
shorten_highTemp.txt:2973,005,1.0
shorten_highTemp.txt:3008,000,1.0
shorten_highTemp.txt:3043,000,1.0
shorten_highTemp.txt:3078,003,1.0
shorten_highTemp.txt:3113,002,1.0
shorten_highTemp.txt:3148,002,1.0
shorten_highTemp.txt:3183,001,1.0
shorten_highTemp.txt:3218,000,1.0
shorten_highTemp.txt:3253,000,1.0
shorten_highTemp.txt:3288,003,1.0
shorten_highTemp.txt:3323,003,1.0
shorten_highTemp.txt:3358,000,1.0
shorten_highTemp.txt:3393,003,1.0
shorten_highTemp.txt:3428,001,1.0
shorten_highTemp.txt:3463,003,1.0
shorten_highTemp.txt:3498,003,1.0
shorten_highTemp.txt:3533,000,1.0
shorten_highTemp.txt:3568,000,1.0
shorten_highTemp.txt:3603,001,1.0
shorten_highTemp.txt:3638,001,1.0
shorten_highTemp.txt:3673,003,1.0
shorten_highTemp.txt:3708,001,1.0
shorten_highTemp.txt:3743,003,1.0
shorten_highTemp.txt:3778,000,1.0
shorten_highTemp.txt:3813,000,1.0
shorten_highTemp.txt:3848,001,1.0
shorten_highTemp.txt:3883,003,1.0
shorten_highTemp.txt:3918,000,1.0
shorten_highTemp.txt:3953,006,1.0
shorten_highTemp.txt:3988,002,1.0
shorten_highTemp.txt:4023,000,0.613196
shorten_highTemp.txt:4023,001,0.386804
shorten_highTemp.txt:4058,001,1.0
shorten_highTemp.txt:4093,003,1.0
