topic,term,weight
000,cut,0.061830297
000,tax,0.055026017
000,hospital,0.031916905
000,school,0.03202095
000,refund,0.015681991
000,penalty,0.013823254
000,death,0.013089543
000,rate,0.01313842
000,provide,0.012398681
000,year,0.023634976
001,money,0.052118972
001,spend,0.037980888
001,taxpayer,0.03316326
001,country,0.024581248
001,support,0.01746923
001,commonwealth,0.01570378
001,business,0.027287273
001,time,0.016143786
001,pay,0.017250355
001,billion,0.0122662885
002,talk,0.06698421
002,catherine,0.02970419
002,penalty,0.0284591
002,rate,0.023375032
002,bite,0.020775558
002,time,0.020713964
002,share,0.020897709
002,king,0.016340284
002,thing,0.019050434
002,fair,0.014485723
003,year,0.053073697
003,matt,0.014543476
003,debate,0.0053251013
003,job,0.005415996
003,big,0.0067314445
003,clear,0.005616895
003,want,0.0054848874
003,vote,0.0072751897
003,energy,0.0076712556
003,government's,0.004820692
004,make,0.17869014
004,government,0.14580753
004,meet,0.062516324
004,end,0.06228619
004,clear,0.022168053
004,support,0.016204495
004,election,0.02059741
004,woman,0.015452188
004,put,0.015563396
004,apology,0.0121325925
005,health,0.10209361
005,insurance,0.095167704
005,private,0.07154211
005,worker,0.041587647
005,election,0.042759765
005,community,0.02765752
005,system,0.027001563
005,campaign,0.027653074
005,idea,0.027910592
005,matt,0.020642847
006,prime,0.082817025
006,small,0.025162222
006,fair,0.014214787
006,parliament,0.011694966
006,private,0.012471461
006,pay,0.011268065
006,million,0.009249509
006,worker,0.008990219
006,insurance,0.012129452
006,shadow,0.0066776266
007,minister,0.09827672
007,small,0.0246921
007,fair,0.012989146
007,worker,0.010501865
007,pay,0.011343733
007,private,0.011596655
007,insurance,0.013030037
007,question,0.008087416
007,support,0.008592603
007,provide,0.007331952
008,good,0.24662878
008,election,0.093892284
008,idea,0.07207437
008,lot,0.053231094
008,thing,0.03910677
008,talk,0.04343094
008,give,0.025584415
008,policy,0.026191482
008,news,0.021538794
008,australia,0.026984006
009,prime,0.2040045
009,minister,0.19458169
009,australia,0.17629403
009,current,0.17654316
009,issue,0.037603512
009,want,0.020894004
009,estimate,0.018345613
009,work,0.020203482
009,turnbull,0.015663376
009,election,0.01685097
010,australian,0.058900923
010,cost,0.017444514
010,ago,0.019430853
010,meet,0.020446941
010,week,0.013466479
010,climate,0.017235277
010,half,0.013237495
010,end,0.01915319
010,treatment,0.010482039
010,control,0.0077602337
011,liberal,0.40049896
011,action,0.27007592
011,make,0.16701269
011,party,0.06705234
011,world,0.032068
011,labor,0.02325643
011,fair,0.006261535
012,fact,0.032111753
012,party,0.032831445
012,year,0.02923779
012,government's,0.018132983
012,school,0.01746295
012,matt,0.015691958
012,canberra,0.012036
012,independent,0.012331028
012,strong,0.012199694
012,morrison,0.012316176
013,live,0.28690752
013,government,0.21539028
013,problem,0.10830711
013,pocket,0.07804745
013,people,0.1501351
013,wage,0.07583113
013,childcare,0.060950805
013,work,0.024430607
014,meet,0.029358989
014,end,0.02601381
014,tax,0.02277047
014,vote,0.018868068
014,treatment,0.015213268
014,business,0.026189333
014,year,0.024757845
014,week,0.013814605
014,apprenticeship,0.012221924
014,project,0.011755058
015,good,0.5628131
015,talk,0.09356426
015,year,0.056509625
015,people,0.11505084
015,small,0.03497534
015,big,0.030814266
015,excite,0.03156456
015,view,0.011622025
015,bad,0.009950432
015,matt,0.010465632
016,make,0.30057275
016,renewable,0.03654
016,real,0.06581381
016,work,0.03608032
016,happy,0.029575327
016,climate,0.031168625
016,ago,0.030026004
016,meet,0.030379308
016,future,0.024455868
016,cancer,0.021311674
017,action,0.75103563
017,climate,0.12511815
017,change,0.12384623
018,lot,0.13804193
018,idea,0.10872734
018,business,0.053285822
018,spend,0.033767574
018,day,0.0361428
018,labor,0.032667063
018,disability,0.022469345
018,wage,0.021322137
018,plan,0.016335564
018,thousand,0.01634431
019,people,0.840605
019,australian,0.159395
020,problem,0.07915964
020,day,0.05736931
020,lot,0.0546789
020,end,0.050895065
020,scare,0.031177966
020,insurance,0.031065455
020,vote,0.02723181
020,home,0.02495453
020,woman,0.024353325
020,policy,0.025147019
021,good,0.6407703
021,business,0.17675695
021,small,0.05458137
021,people,0.12361267
022,national,0.03763581
022,price,0.035693914
022,current,0.047922906
022,back,0.033003546
022,company,0.02690337
022,cost,0.025712002
022,world,0.023582632
022,country,0.02645235
022,commission,0.021766244
022,mix,0.020652615
023,town,0.7532577
023,talk,0.24674232
024,australian,0.15276822
024,ago,0.050847013
024,cost,0.036176585
024,idea,0.03985423
024,meet,0.036431126
024,end,0.036859557
024,real,0.060414903
024,thing,0.02497658
024,renewable,0.023340205
024,share,0.022368195
025,people,0.92738444
025,wage,0.072615564
026,energy,0.076939695
026,campaign,0.06821287
026,put,0.04177717
026,day,0.039797984
026,million,0.034770653
026,parliament,0.032156184
026,thing,0.030203495
026,top,0.023671877
026,hand,0.02044511
026,positive,0.017393604
027,government,1.0
028,real,0.60331863
028,government,0.2921903
028,country,0.10449104
029,make,0.331346
029,australian,0.12400715
029,current,0.120529406
029,year,0.11389744
029,real,0.11067548
029,campaign,0.07845085
029,labor,0.067207895
029,politic,0.026091065
029,ago,0.01356679
029,business,0.014227908
