docname,topic,proportion
morrison_answers_tokenized.txt:33,003,1.0
morrison_answers_tokenized.txt:68,007,1.0
morrison_answers_tokenized.txt:103,003,1.0
morrison_answers_tokenized.txt:138,021,1.0
morrison_answers_tokenized.txt:173,000,1.0
morrison_answers_tokenized.txt:208,013,1.0
morrison_answers_tokenized.txt:243,000,1.0
morrison_answers_tokenized.txt:278,014,1.0
morrison_answers_tokenized.txt:313,006,1.0
morrison_answers_tokenized.txt:348,006,1.0
morrison_answers_tokenized.txt:383,009,1.0
morrison_answers_tokenized.txt:418,017,1.0
morrison_answers_tokenized.txt:453,018,1.0
morrison_answers_tokenized.txt:488,002,1.0
morrison_answers_tokenized.txt:523,014,1.0
morrison_answers_tokenized.txt:558,000,1.0
morrison_answers_tokenized.txt:593,015,1.0
morrison_answers_tokenized.txt:628,003,1.0
morrison_answers_tokenized.txt:663,011,1.0
morrison_answers_tokenized.txt:698,000,1.0
morrison_answers_tokenized.txt:733,026,1.0
morrison_answers_tokenized.txt:768,023,1.0
morrison_answers_tokenized.txt:803,001,1.0
morrison_answers_tokenized.txt:838,004,1.0
morrison_answers_tokenized.txt:873,002,1.0
morrison_answers_tokenized.txt:908,015,1.0
morrison_answers_tokenized.txt:943,003,1.0
morrison_answers_tokenized.txt:978,003,1.0
morrison_answers_tokenized.txt:1013,009,1.0
morrison_answers_tokenized.txt:1048,008,1.0
morrison_answers_tokenized.txt:1083,003,1.0
morrison_answers_tokenized.txt:1118,003,1.0
morrison_answers_tokenized.txt:1153,003,1.0
morrison_answers_tokenized.txt:1188,003,1.0
morrison_answers_tokenized.txt:1223,000,1.0
morrison_answers_tokenized.txt:1258,001,1.0
morrison_answers_tokenized.txt:1293,009,1.0
morrison_answers_tokenized.txt:1328,020,1.0
morrison_answers_tokenized.txt:1363,003,1.0
morrison_answers_tokenized.txt:1398,003,1.0
morrison_answers_tokenized.txt:1433,011,1.0
morrison_answers_tokenized.txt:1468,003,1.0
morrison_answers_tokenized.txt:1503,000,1.0
morrison_answers_tokenized.txt:1538,000,1.0
morrison_answers_tokenized.txt:1573,009,1.0
morrison_answers_tokenized.txt:1608,011,1.0
morrison_answers_tokenized.txt:1643,001,1.0
morrison_answers_tokenized.txt:1678,011,1.0
morrison_answers_tokenized.txt:1713,003,1.0
morrison_answers_tokenized.txt:1748,000,1.0
morrison_answers_tokenized.txt:1783,000,1.0
morrison_answers_tokenized.txt:1818,001,1.0
morrison_answers_tokenized.txt:1853,009,1.0
morrison_answers_tokenized.txt:1888,000,1.0
morrison_answers_tokenized.txt:1923,011,1.0
morrison_answers_tokenized.txt:1958,000,1.0
morrison_answers_tokenized.txt:1993,013,1.0
morrison_answers_tokenized.txt:2028,005,1.0
morrison_answers_tokenized.txt:2063,001,1.0
morrison_answers_tokenized.txt:2098,005,1.0
morrison_answers_tokenized.txt:2133,000,1.0
morrison_answers_tokenized.txt:2168,000,0.665613
morrison_answers_tokenized.txt:2168,001,0.334387
morrison_answers_tokenized.txt:2203,002,1.0
morrison_answers_tokenized.txt:2238,000,1.0
morrison_answers_tokenized.txt:2273,008,1.0
morrison_answers_tokenized.txt:2308,009,1.0
morrison_answers_tokenized.txt:2343,017,1.0
morrison_answers_tokenized.txt:2378,000,1.0
morrison_answers_tokenized.txt:2413,004,1.0
morrison_answers_tokenized.txt:2448,000,1.0
morrison_answers_tokenized.txt:2483,004,1.0
morrison_answers_tokenized.txt:2518,000,1.0
morrison_answers_tokenized.txt:2553,000,0.665613
morrison_answers_tokenized.txt:2553,001,0.334387
morrison_answers_tokenized.txt:2588,026,1.0
morrison_answers_tokenized.txt:2623,000,1.0
morrison_answers_tokenized.txt:2658,003,1.0
morrison_answers_tokenized.txt:2693,000,0.665613
morrison_answers_tokenized.txt:2693,001,0.334387
morrison_answers_tokenized.txt:2728,009,1.0
morrison_answers_tokenized.txt:2763,006,1.0
morrison_answers_tokenized.txt:2798,001,1.0
morrison_answers_tokenized.txt:2833,017,1.0
morrison_answers_tokenized.txt:2868,006,1.0
morrison_answers_tokenized.txt:2903,006,1.0
morrison_answers_tokenized.txt:2938,004,1.0
morrison_answers_tokenized.txt:2973,011,1.0
morrison_answers_tokenized.txt:3008,007,1.0
morrison_answers_tokenized.txt:3043,024,1.0
morrison_answers_tokenized.txt:3078,000,0.665613
morrison_answers_tokenized.txt:3078,001,0.334387
morrison_answers_tokenized.txt:3113,004,1.0
morrison_answers_tokenized.txt:3148,009,1.0
morrison_answers_tokenized.txt:3183,007,1.0
morrison_answers_tokenized.txt:3218,005,1.0
morrison_answers_tokenized.txt:3253,003,1.0
morrison_answers_tokenized.txt:3288,000,1.0
morrison_answers_tokenized.txt:3323,001,1.0
morrison_answers_tokenized.txt:3358,011,1.0
morrison_answers_tokenized.txt:3393,000,0.665613
morrison_answers_tokenized.txt:3393,001,0.334387
morrison_answers_tokenized.txt:3428,004,1.0
morrison_answers_tokenized.txt:3463,006,1.0
morrison_answers_tokenized.txt:3498,016,1.0
morrison_answers_tokenized.txt:3533,001,1.0
morrison_answers_tokenized.txt:3568,011,1.0
morrison_answers_tokenized.txt:3603,002,1.0
morrison_answers_tokenized.txt:3638,009,1.0
morrison_answers_tokenized.txt:3673,019,1.0
morrison_answers_tokenized.txt:3708,008,1.0
morrison_answers_tokenized.txt:3743,011,1.0
morrison_answers_tokenized.txt:3778,000,1.0
morrison_answers_tokenized.txt:3813,009,1.0
morrison_answers_tokenized.txt:3848,015,1.0
morrison_answers_tokenized.txt:3883,009,1.0
morrison_answers_tokenized.txt:3918,002,1.0
morrison_answers_tokenized.txt:3953,003,1.0
morrison_answers_tokenized.txt:3988,001,1.0
morrison_answers_tokenized.txt:4023,005,1.0
morrison_answers_tokenized.txt:4058,004,1.0
morrison_answers_tokenized.txt:4093,000,1.0
morrison_answers_tokenized.txt:4128,001,1.0
morrison_answers_tokenized.txt:4163,013,1.0
morrison_answers_tokenized.txt:4198,000,1.0
morrison_answers_tokenized.txt:4233,018,1.0
morrison_answers_tokenized.txt:4268,000,1.0
morrison_answers_tokenized.txt:4303,000,1.0
morrison_answers_tokenized.txt:4338,015,1.0
morrison_answers_tokenized.txt:4373,007,1.0
morrison_answers_tokenized.txt:4408,000,1.0
morrison_answers_tokenized.txt:4443,024,1.0
morrison_answers_tokenized.txt:4478,000,1.0
morrison_answers_tokenized.txt:4513,014,1.0
morrison_answers_tokenized.txt:4548,000,1.0
morrison_answers_tokenized.txt:4583,001,1.0
morrison_answers_tokenized.txt:4618,017,1.0
morrison_answers_tokenized.txt:4637,002,1.0
morrison_answers_tokenized.txt:4672,003,1.0
morrison_answers_tokenized.txt:4707,001,1.0
morrison_answers_tokenized.txt:4742,000,1.0
morrison_answers_tokenized.txt:4777,010,1.0
morrison_answers_tokenized.txt:4812,004,1.0
morrison_answers_tokenized.txt:4847,009,1.0
morrison_answers_tokenized.txt:4882,000,0.665613
morrison_answers_tokenized.txt:4882,001,0.334387
morrison_answers_tokenized.txt:4917,015,1.0
morrison_answers_tokenized.txt:4952,001,1.0
morrison_answers_tokenized.txt:4987,002,1.0
morrison_answers_tokenized.txt:5022,001,1.0
morrison_answers_tokenized.txt:5057,040,1.0
morrison_answers_tokenized.txt:5092,000,1.0
morrison_answers_tokenized.txt:5127,027,1.0
morrison_answers_tokenized.txt:5162,003,1.0
morrison_answers_tokenized.txt:5197,001,1.0
morrison_answers_tokenized.txt:5232,021,1.0
morrison_answers_tokenized.txt:5267,002,1.0
morrison_answers_tokenized.txt:5302,005,1.0
morrison_answers_tokenized.txt:5337,000,1.0
morrison_answers_tokenized.txt:5372,000,1.0
morrison_answers_tokenized.txt:5407,002,1.0
morrison_answers_tokenized.txt:5442,011,1.0
morrison_answers_tokenized.txt:5477,004,1.0
morrison_answers_tokenized.txt:5512,001,1.0
morrison_answers_tokenized.txt:5547,000,1.0
morrison_answers_tokenized.txt:5582,002,1.0
morrison_answers_tokenized.txt:5617,000,1.0
morrison_answers_tokenized.txt:5652,025,1.0
morrison_answers_tokenized.txt:5687,000,1.0
morrison_answers_tokenized.txt:5722,013,1.0
morrison_answers_tokenized.txt:5757,000,1.0
morrison_answers_tokenized.txt:5792,000,1.0
morrison_answers_tokenized.txt:5827,000,1.0
morrison_answers_tokenized.txt:5862,000,1.0
morrison_answers_tokenized.txt:5897,012,1.0
morrison_answers_tokenized.txt:5932,000,1.0
morrison_answers_tokenized.txt:5967,000,1.0
morrison_answers_tokenized.txt:6002,000,0.665613
morrison_answers_tokenized.txt:6002,001,0.334387
morrison_answers_tokenized.txt:6037,000,1.0
morrison_answers_tokenized.txt:6072,009,1.0
morrison_answers_tokenized.txt:6107,026,1.0
morrison_answers_tokenized.txt:6142,000,1.0
morrison_answers_tokenized.txt:6177,003,1.0
morrison_answers_tokenized.txt:6212,002,1.0
morrison_answers_tokenized.txt:6247,010,1.0
morrison_answers_tokenized.txt:6282,002,1.0
morrison_answers_tokenized.txt:6317,011,1.0
morrison_answers_tokenized.txt:6352,002,1.0
morrison_answers_tokenized.txt:6387,003,1.0
morrison_answers_tokenized.txt:6422,000,1.0
morrison_answers_tokenized.txt:6457,009,1.0
morrison_answers_tokenized.txt:6492,023,1.0
morrison_answers_tokenized.txt:6527,011,1.0
morrison_answers_tokenized.txt:6562,006,1.0
morrison_answers_tokenized.txt:6597,011,1.0
morrison_answers_tokenized.txt:6632,013,1.0
morrison_answers_tokenized.txt:6667,000,1.0
morrison_answers_tokenized.txt:6702,003,1.0
morrison_answers_tokenized.txt:6737,003,1.0
morrison_answers_tokenized.txt:6772,007,1.0
morrison_answers_tokenized.txt:6807,009,1.0
morrison_answers_tokenized.txt:6842,000,0.665613
morrison_answers_tokenized.txt:6842,001,0.334387
morrison_answers_tokenized.txt:6877,011,1.0
morrison_answers_tokenized.txt:6912,000,0.665613
morrison_answers_tokenized.txt:6912,001,0.334387
morrison_answers_tokenized.txt:6947,000,1.0
morrison_answers_tokenized.txt:6982,009,1.0
morrison_answers_tokenized.txt:7017,002,1.0
morrison_answers_tokenized.txt:7052,000,1.0
morrison_answers_tokenized.txt:7087,002,1.0
morrison_answers_tokenized.txt:7122,017,1.0
morrison_answers_tokenized.txt:7157,005,1.0
morrison_answers_tokenized.txt:7192,001,1.0
morrison_answers_tokenized.txt:7227,004,1.0
morrison_answers_tokenized.txt:7262,003,1.0
morrison_answers_tokenized.txt:7297,017,1.0
morrison_answers_tokenized.txt:7332,006,1.0
morrison_answers_tokenized.txt:7367,009,1.0
morrison_answers_tokenized.txt:7402,001,1.0
morrison_answers_tokenized.txt:7437,000,1.0
morrison_answers_tokenized.txt:7472,000,1.0
morrison_answers_tokenized.txt:7507,002,1.0
morrison_answers_tokenized.txt:7542,005,1.0
morrison_answers_tokenized.txt:7577,004,1.0
morrison_answers_tokenized.txt:7612,010,1.0
morrison_answers_tokenized.txt:7647,013,1.0
morrison_answers_tokenized.txt:7682,000,1.0
morrison_answers_tokenized.txt:7717,000,1.0
morrison_answers_tokenized.txt:7752,001,1.0
morrison_answers_tokenized.txt:7787,017,1.0
morrison_answers_tokenized.txt:7822,009,1.0
morrison_answers_tokenized.txt:7857,009,1.0
morrison_answers_tokenized.txt:7892,009,1.0
morrison_answers_tokenized.txt:7927,000,1.0
morrison_answers_tokenized.txt:7962,002,1.0
morrison_answers_tokenized.txt:7997,026,1.0
morrison_answers_tokenized.txt:8032,012,1.0
morrison_answers_tokenized.txt:8067,000,1.0
morrison_answers_tokenized.txt:8102,011,1.0
morrison_answers_tokenized.txt:8137,015,1.0
morrison_answers_tokenized.txt:8172,009,1.0
morrison_answers_tokenized.txt:8207,000,1.0
morrison_answers_tokenized.txt:8242,000,1.0
morrison_answers_tokenized.txt:8277,011,1.0
morrison_answers_tokenized.txt:8312,002,1.0
morrison_answers_tokenized.txt:8347,015,1.0
morrison_answers_tokenized.txt:8382,017,1.0
morrison_answers_tokenized.txt:8417,009,1.0
morrison_answers_tokenized.txt:8452,003,1.0
morrison_answers_tokenized.txt:8487,009,1.0
morrison_answers_tokenized.txt:8522,001,1.0
morrison_answers_tokenized.txt:8557,013,1.0
morrison_answers_tokenized.txt:8592,000,1.0
morrison_answers_tokenized.txt:8627,002,1.0
morrison_answers_tokenized.txt:8662,009,1.0
morrison_answers_tokenized.txt:8697,002,1.0
morrison_answers_tokenized.txt:8732,013,1.0
morrison_answers_tokenized.txt:8767,018,1.0
morrison_answers_tokenized.txt:8802,000,1.0
morrison_answers_tokenized.txt:8837,004,1.0
morrison_answers_tokenized.txt:8872,017,1.0
morrison_answers_tokenized.txt:8907,005,1.0
morrison_answers_tokenized.txt:8942,009,1.0
morrison_answers_tokenized.txt:8977,000,1.0
morrison_answers_tokenized.txt:9012,000,0.665613
morrison_answers_tokenized.txt:9012,001,0.334387
morrison_answers_tokenized.txt:9047,016,1.0
morrison_answers_tokenized.txt:9082,003,1.0
morrison_answers_tokenized.txt:9117,000,1.0
morrison_answers_tokenized.txt:9152,004,1.0
morrison_answers_tokenized.txt:9187,000,1.0
morrison_answers_tokenized.txt:9222,000,1.0
morrison_answers_tokenized.txt:9257,000,1.0
morrison_answers_tokenized.txt:9292,016,1.0
morrison_answers_tokenized.txt:9327,001,1.0
morrison_answers_tokenized.txt:9362,004,1.0
morrison_answers_tokenized.txt:9397,000,1.0
morrison_answers_tokenized.txt:22,009,1.0
morrison_answers_tokenized.txt:57,026,1.0
morrison_answers_tokenized.txt:92,002,1.0
morrison_answers_tokenized.txt:127,000,1.0
morrison_answers_tokenized.txt:162,007,1.0
morrison_answers_tokenized.txt:197,000,1.0
morrison_answers_tokenized.txt:232,012,1.0
morrison_answers_tokenized.txt:267,021,1.0
morrison_answers_tokenized.txt:302,015,1.0
morrison_answers_tokenized.txt:337,004,1.0
morrison_answers_tokenized.txt:372,003,1.0
morrison_answers_tokenized.txt:407,018,1.0
morrison_answers_tokenized.txt:442,000,1.0
morrison_answers_tokenized.txt:477,002,1.0
morrison_answers_tokenized.txt:512,021,1.0
morrison_answers_tokenized.txt:547,002,1.0
morrison_answers_tokenized.txt:582,018,1.0
morrison_answers_tokenized.txt:617,026,1.0
morrison_answers_tokenized.txt:652,026,1.0
morrison_answers_tokenized.txt:687,001,1.0
morrison_answers_tokenized.txt:722,020,1.0
morrison_answers_tokenized.txt:757,001,1.0
