topic,term,weight
000,minister,0.06888113
000,prime,0.058146145
000,immigration,0.012507243
000,great,0.013488005
000,home,0.010085099
000,affair,0.008269212
000,involvement,0.0070542535
000,day,0.014941025
000,shut,0.0061927205
000,member,0.0068300404
001,people,0.049355295
001,place,0.037519764
001,we’re,0.0424569
001,put,0.020190787
001,talk,0.016002107
001,project,0.014907513
001,home,0.010733919
001,lot,0.0126584
001,medical,0.008323237
001,part,0.009597292
002,time,0.07156376
002,long,0.042102642
002,period,0.017116286
002,back,0.025251895
002,decision,0.014722844
002,turn,0.0124276485
002,year,0.02080851
002,nomination,0.011446509
002,open,0.010214363
002,write,0.0099141225
003,year,0.07201261
003,billion,0.03866245
003,it’s,0.039106335
003,half,0.024873212
003,government,0.031375315
003,budget,0.024319703
003,ago,0.019914068
003,project,0.021619871
003,dollar,0.015026792
003,fund,0.013872905
004,thing,0.06722606
004,happen,0.02364365
004,focus,0.021575117
004,time,0.023536326
004,important,0.020467475
004,future,0.013941732
004,people,0.017339783
004,powerful,0.010963347
004,faith,0.011538276
004,david,0.010575898
005,work,0.08933574
005,government,0.068717495
005,closely,0.020920046
005,hard,0.019725015
005,project,0.020067094
005,commonwealth,0.016934508
005,queensland,0.01738251
005,territory,0.014018062
005,we’ve,0.014458959
005,state,0.011231103
006,issue,0.081940845
006,address,0.034090575
006,question,0.027966673
006,deal,0.0284326
006,raise,0.02257411
006,real,0.015704427
006,practical,0.013644306
006,understand,0.0150331855
006,concern,0.012704881
006,relief,0.01311184
007,project,0.057216894
007,congestion,0.040199205
007,bust,0.03689663
007,infrastructure,0.029026512
007,investment,0.020601135
007,city,0.020938924
007,deliver,0.017006923
007,invest,0.017001266
007,hydro,0.013043445
007,big,0.013069383
008,community,0.08463508
008,support,0.033154607
008,faith,0.026157891
008,understand,0.025648048
008,lot,0.023080397
008,zealand,0.019041467
008,muslim,0.017300718
008,work,0.03154502
008,provide,0.015642604
008,country,0.016775323
009,tax,0.02275269
009,taxis,0.018120147
009,part,0.008236865
009,role,0.0049012275
009,meet,0.005662442
009,smuggler,0.0046439487
009,hospital,0.005277258
009,sit,0.0037252195
009,retire,0.004247385
009,mine,0.005320101
010,that’s,0.1069803
010,true,0.039653104
010,don’t,0.027833113
010,year,0.034514766
010,happen,0.023761135
010,jon,0.019978976
010,week,0.018531494
010,action,0.01643205
010,we’re,0.024164947
010,important,0.01607583
011,there’s,0.009688685
011,talk,0.010848794
011,lot,0.01031602
011,happy,0.009075326
011,run,0.008189481
011,south,0.0052809
011,live,0.006188151
011,city,0.0065980996
011,wale,0.0042865905
011,generation,0.0040529356
012,industry,0.075377986
012,economy,0.049518816
012,mine,0.04289597
012,support,0.04378747
012,forward,0.03789936
012,continue,0.035194162
012,drive,0.031884592
012,queensland,0.029868493
012,north,0.023644503
012,investment,0.020402143
013,job,0.102381244
013,million,0.04925367
013,create,0.035715625
013,year,0.036602266
013,woman,0.02547435
013,half,0.02025503
013,australian,0.0267075
013,she's,0.018327845
013,day,0.026240079
013,tonne,0.019913182
014,property,0.06475388
014,plan,0.047900293
014,north,0.01915096
014,people,0.022707064
014,process,0.019285265
014,reconstruction,0.012820548
014,i’m,0.016327634
014,achieve,0.010814982
014,alan,0.010644704
014,country,0.01242102
015,australian,0.14265588
015,safe,0.056274
