docname,topic,proportion
shorten_answers_tokenized.txt:17,014,1.0
shorten_answers_tokenized.txt:52,002,1.0
shorten_answers_tokenized.txt:87,004,1.0
shorten_answers_tokenized.txt:122,005,1.0
shorten_answers_tokenized.txt:157,003,1.0
shorten_answers_tokenized.txt:192,017,1.0
shorten_answers_tokenized.txt:227,003,1.0
shorten_answers_tokenized.txt:262,010,1.0
shorten_answers_tokenized.txt:297,003,1.0
shorten_answers_tokenized.txt:332,002,1.0
shorten_answers_tokenized.txt:367,000,1.0
shorten_answers_tokenized.txt:402,003,1.0
shorten_answers_tokenized.txt:437,000,0.465504
shorten_answers_tokenized.txt:437,001,0.382341
shorten_answers_tokenized.txt:437,002,0.152154
shorten_answers_tokenized.txt:472,002,1.0
shorten_answers_tokenized.txt:507,000,1.0
shorten_answers_tokenized.txt:542,015,1.0
shorten_answers_tokenized.txt:577,008,1.0
shorten_answers_tokenized.txt:612,000,1.0
shorten_answers_tokenized.txt:647,000,0.465504
shorten_answers_tokenized.txt:647,001,0.382341
shorten_answers_tokenized.txt:647,002,0.152154
shorten_answers_tokenized.txt:682,000,1.0
shorten_answers_tokenized.txt:717,013,1.0
shorten_answers_tokenized.txt:752,007,1.0
shorten_answers_tokenized.txt:787,017,1.0
shorten_answers_tokenized.txt:822,009,1.0
shorten_answers_tokenized.txt:857,005,1.0
shorten_answers_tokenized.txt:892,001,1.0
shorten_answers_tokenized.txt:927,000,1.0
shorten_answers_tokenized.txt:962,001,1.0
shorten_answers_tokenized.txt:997,007,1.0
shorten_answers_tokenized.txt:1032,003,1.0
shorten_answers_tokenized.txt:1067,001,1.0
shorten_answers_tokenized.txt:1102,017,1.0
shorten_answers_tokenized.txt:1137,024,1.0
shorten_answers_tokenized.txt:1172,017,1.0
shorten_answers_tokenized.txt:1207,002,1.0
shorten_answers_tokenized.txt:1242,010,1.0
shorten_answers_tokenized.txt:1277,000,0.465504
shorten_answers_tokenized.txt:1277,001,0.382341
shorten_answers_tokenized.txt:1277,002,0.152154
shorten_answers_tokenized.txt:1312,001,1.0
shorten_answers_tokenized.txt:1347,005,1.0
shorten_answers_tokenized.txt:1382,000,1.0
shorten_answers_tokenized.txt:1417,000,1.0
shorten_answers_tokenized.txt:1452,000,1.0
shorten_answers_tokenized.txt:1487,001,1.0
shorten_answers_tokenized.txt:1522,025,1.0
shorten_answers_tokenized.txt:1557,002,1.0
shorten_answers_tokenized.txt:1592,002,1.0
shorten_answers_tokenized.txt:1627,001,1.0
shorten_answers_tokenized.txt:1662,000,1.0
shorten_answers_tokenized.txt:1697,002,1.0
shorten_answers_tokenized.txt:1732,017,1.0
shorten_answers_tokenized.txt:1767,005,1.0
shorten_answers_tokenized.txt:1802,000,0.465504
shorten_answers_tokenized.txt:1802,001,0.382341
shorten_answers_tokenized.txt:1802,002,0.152154
shorten_answers_tokenized.txt:1837,000,1.0
shorten_answers_tokenized.txt:1872,005,1.0
shorten_answers_tokenized.txt:1907,000,1.0
shorten_answers_tokenized.txt:1942,012,1.0
shorten_answers_tokenized.txt:1977,000,1.0
shorten_answers_tokenized.txt:2012,005,1.0
shorten_answers_tokenized.txt:2047,002,1.0
shorten_answers_tokenized.txt:2082,000,1.0
shorten_answers_tokenized.txt:2117,003,1.0
shorten_answers_tokenized.txt:2152,000,1.0
shorten_answers_tokenized.txt:2187,015,1.0
shorten_answers_tokenized.txt:2222,007,1.0
shorten_answers_tokenized.txt:2257,000,1.0
shorten_answers_tokenized.txt:2292,022,1.0
shorten_answers_tokenized.txt:2327,020,1.0
shorten_answers_tokenized.txt:2362,000,1.0
shorten_answers_tokenized.txt:2397,007,1.0
shorten_answers_tokenized.txt:2432,000,1.0
shorten_answers_tokenized.txt:2467,004,1.0
shorten_answers_tokenized.txt:2502,001,1.0
shorten_answers_tokenized.txt:2537,005,1.0
shorten_answers_tokenized.txt:2572,002,1.0
shorten_answers_tokenized.txt:2607,001,1.0
shorten_answers_tokenized.txt:2642,001,1.0
shorten_answers_tokenized.txt:2677,002,1.0
shorten_answers_tokenized.txt:2712,002,1.0
shorten_answers_tokenized.txt:2747,013,1.0
shorten_answers_tokenized.txt:2782,017,1.0
shorten_answers_tokenized.txt:2817,007,1.0
shorten_answers_tokenized.txt:2852,000,0.465504
shorten_answers_tokenized.txt:2852,001,0.382341
shorten_answers_tokenized.txt:2852,002,0.152154
shorten_answers_tokenized.txt:2887,003,1.0
shorten_answers_tokenized.txt:2922,007,1.0
shorten_answers_tokenized.txt:2957,019,1.0
shorten_answers_tokenized.txt:2992,007,1.0
shorten_answers_tokenized.txt:3027,017,1.0
shorten_answers_tokenized.txt:3062,010,1.0
shorten_answers_tokenized.txt:3097,025,1.0
shorten_answers_tokenized.txt:3132,005,1.0
shorten_answers_tokenized.txt:3167,003,1.0
shorten_answers_tokenized.txt:3202,009,1.0
shorten_answers_tokenized.txt:3237,000,1.0
shorten_answers_tokenized.txt:3272,000,1.0
shorten_answers_tokenized.txt:3307,008,1.0
shorten_answers_tokenized.txt:3342,004,1.0
shorten_answers_tokenized.txt:3377,029,1.0
shorten_answers_tokenized.txt:3412,006,1.0
shorten_answers_tokenized.txt:3447,003,1.0
shorten_answers_tokenized.txt:3482,021,1.0
shorten_answers_tokenized.txt:3517,021,1.0
shorten_answers_tokenized.txt:3552,004,1.0
shorten_answers_tokenized.txt:3587,008,1.0
shorten_answers_tokenized.txt:3622,002,1.0
shorten_answers_tokenized.txt:3657,004,1.0
shorten_answers_tokenized.txt:3692,000,1.0
shorten_answers_tokenized.txt:3727,005,1.0
shorten_answers_tokenized.txt:3762,000,1.0
shorten_answers_tokenized.txt:3797,005,1.0
shorten_answers_tokenized.txt:3832,024,1.0
shorten_answers_tokenized.txt:3867,005,1.0
shorten_answers_tokenized.txt:3902,005,1.0
shorten_answers_tokenized.txt:3937,017,1.0
shorten_answers_tokenized.txt:3972,011,1.0
shorten_answers_tokenized.txt:4007,007,1.0
shorten_answers_tokenized.txt:4042,015,1.0
shorten_answers_tokenized.txt:4077,001,1.0
shorten_answers_tokenized.txt:4112,002,1.0
shorten_answers_tokenized.txt:4147,017,1.0
shorten_answers_tokenized.txt:4182,012,1.0
shorten_answers_tokenized.txt:4217,010,1.0
shorten_answers_tokenized.txt:4252,003,1.0
shorten_answers_tokenized.txt:4287,005,1.0
shorten_answers_tokenized.txt:4322,000,1.0
shorten_answers_tokenized.txt:4357,018,1.0
shorten_answers_tokenized.txt:4392,009,1.0
shorten_answers_tokenized.txt:4427,001,1.0
shorten_answers_tokenized.txt:4462,000,1.0
shorten_answers_tokenized.txt:4497,017,1.0
shorten_answers_tokenized.txt:4532,010,1.0
shorten_answers_tokenized.txt:4567,009,1.0
shorten_answers_tokenized.txt:4602,002,1.0
shorten_answers_tokenized.txt:4637,002,1.0
shorten_answers_tokenized.txt:4672,017,1.0
