topic,term,weight
000,money,0.049036805
000,spend,0.032473456
000,pay,0.024163544
000,taxpayer,0.019769577
000,put,0.019052677
000,lot,0.018639354
000,million,0.0141492225
000,health,0.013417402
000,back,0.014229008
000,fund,0.011460739
001,run,0.036094632
001,candidate,0.032071266
001,south,0.01868359
001,great,0.018783543
001,higgins,0.01471522
001,wale,0.01347757
001,liberal,0.015462349
001,labor's,0.012488126
001,matt,0.0125815505
001,listen,0.012390146
002,time,0.044595532
002,wait,0.041438308
002,list,0.024414223
002,long,0.017481584
002,full,0.01614748
002,cancer,0.012106223
002,reality,0.009470059
002,reduce,0.00955213
002,talk,0.012112976
002,message,0.008345528
003,strong,0.03423702
003,woman,0.03212003
003,she's,0.017510938
003,economy,0.014416381
003,border,0.013075399
003,view,0.012136525
003,national,0.012085878
003,person,0.011690163
003,lot,0.013563691
003,thing,0.011466421
004,party,0.06253813
004,liberal,0.060556628
004,put,0.03548843
004,nation,0.029237648
004,back,0.029354582
004,national,0.018855484
004,money,0.017659368
004,wing,0.013505277
004,question,0.020948404
004,morrison,0.01512935
005,tax,0.10330913
005,pay,0.06448416
005,cut,0.046313696
005,income,0.035100233
005,give,0.03289856
005,multinational,0.023256693
005,big,0.02496158
005,refund,0.019144958
005,top,0.019064208
005,country,0.016930524
006,kid,0.073962316
006,parent,0.033761326
006,hand,0.025026808
006,future,0.022457471
006,make,0.0251705
006,learn,0.017894628
006,deal,0.019465627
006,start,0.016678426
006,swim,0.015899196
006,school,0.018619405
007,health,0.07781866
007,family,0.05150989
007,australian,0.0443132
007,important,0.032046977
007,politic,0.023494462
007,education,0.02037303
007,system,0.016779479
007,insurance,0.014984111
007,people,0.039857384
007,private,0.013812519
008,business,0.06753369
008,good,0.08079754
008,small,0.05847464
008,listen,0.019649642
008,case,0.015532125
008,talk,0.017575348
008,idea,0.013804916
008,company,0.01264313
008,australian,0.022679979
008,great,0.011641995
009,australian,0.10596939
009,cancer,0.07203129
009,fight,0.030470312
009,diagnosis,0.0241395
009,life,0.019405922
009,treatment,0.01861453
009,poor,0.017576147
009,sick,0.018312423
009,wait,0.018107764
009,pancreatic,0.014797252
010,day,0.1316662
010,month,0.05662402
010,sit,0.053058222
010,parliament,0.03120736
010,bus,0.02421169
010,opposition,0.021719262
010,week,0.020879218
010,today,0.018007271
010,election,0.027163187
010,work,0.04084781
011,government,0.17014778
011,labor,0.05539731
011,make,0.030970389
011,australia,0.03283505
011,real,0.025818586
011,move,0.013534569
011,plan,0.016378501
011,law,0.012663254
011,australian,0.024418814
011,invest,0.011035785
012,government,0.11771171
012,campaign,0.07546514
012,scare,0.07370814
012,run,0.040384952
012,nation,0.03738606
012,call,0.024660425
012,stupid,0.019079506
012,government's,0.01910502
012,boat,0.01350717
012,recognise,0.011277304
013,palmer,0.101961344
013,clive,0.09277648
013,deal,0.060018536
013,morrison,0.058908246
013,vote,0.033694007
013,hanson,0.024858868
013,pauline,0.017210478
013,nation,0.018686535
013,scott,0.016921151
013,owe,0.016242182
014,choice,0.08441078
014,election,0.08237296
014,day,0.06294775
014,real,0.060283136
014,clear,0.048766214
014,make,0.037357926
014,week,0.032117523
014,call,0.03238105
014,big,0.032250557
014,win,0.026996074
015,election,0.054089393
015,today,0.011246365
015,support,0.010601014
015,bill,0.008293267
015,morning,0.009447468
015,unite,0.007866783
015,problem,0.010854782
015,palmer,0.009722435
015,happy,0.009272913
015,action,0.0073219673
016,people,0.22838812
016,answer,0.021490252
016,money,0.019787446
016,cancer,0.015119102
016,morning,0.013171975
016,fair,0.015681213
016,start,0.008624252
016,happen,0.008158811
016,news,0.0071873097
016,town,0.007896119
017,minister,0.0352867
017,small,0.0108030485
017,important,0.008196237
017,minister's,0.0060164994
017,sick,0.0071839
017,country,0.009097079
017,treasurer,0.005292957
017,choice,0.008969334
017,announcement,0.00589506
017,cancer,0.0070597753
018,minister,0.1939243
018,year,0.19237834
018,prime,0.14390288
018,current,0.060459062
018,turnbull,0.048194475
018,malcolm,0.033926968
018,australia,0.042730466
018,ago,0.030586168
018,run,0.02985178
018,party,0.026436687
019,year,0.23744081
019,ago,0.054509763
