docname,topic,proportion
pm_highTemp.txt:33,005,1.0
pm_highTemp.txt:68,000,1.0
pm_highTemp.txt:103,013,1.0
pm_highTemp.txt:138,005,1.0
pm_highTemp.txt:173,013,1.0
pm_highTemp.txt:208,001,1.0
pm_highTemp.txt:243,003,1.0
pm_highTemp.txt:278,003,1.0
pm_highTemp.txt:313,008,1.0
pm_highTemp.txt:348,000,1.0
pm_highTemp.txt:383,007,1.0
pm_highTemp.txt:418,007,1.0
pm_highTemp.txt:453,000,1.0
pm_highTemp.txt:488,010,1.0
pm_highTemp.txt:523,005,1.0
pm_highTemp.txt:558,007,1.0
pm_highTemp.txt:593,019,1.0
pm_highTemp.txt:628,001,1.0
pm_highTemp.txt:663,001,1.0
pm_highTemp.txt:698,000,1.0
pm_highTemp.txt:733,003,1.0
pm_highTemp.txt:768,000,1.0
pm_highTemp.txt:803,001,1.0
pm_highTemp.txt:838,003,1.0
pm_highTemp.txt:873,000,1.0
pm_highTemp.txt:908,005,1.0
pm_highTemp.txt:943,001,1.0
pm_highTemp.txt:978,007,1.0
pm_highTemp.txt:1013,000,0.513105
pm_highTemp.txt:1013,001,0.486895
pm_highTemp.txt:1048,008,1.0
pm_highTemp.txt:1083,000,1.0
pm_highTemp.txt:1118,006,1.0
pm_highTemp.txt:1153,004,1.0
pm_highTemp.txt:1188,002,1.0
pm_highTemp.txt:1223,011,1.0
pm_highTemp.txt:1258,002,1.0
pm_highTemp.txt:1293,000,1.0
pm_highTemp.txt:1328,000,1.0
pm_highTemp.txt:1363,003,1.0
pm_highTemp.txt:1398,002,1.0
pm_highTemp.txt:1433,000,1.0
pm_highTemp.txt:1468,000,1.0
pm_highTemp.txt:1503,002,1.0
pm_highTemp.txt:1538,002,1.0
pm_highTemp.txt:1573,000,1.0
pm_highTemp.txt:1608,001,1.0
pm_highTemp.txt:1643,001,1.0
pm_highTemp.txt:1678,000,1.0
pm_highTemp.txt:1713,005,1.0
pm_highTemp.txt:1748,003,1.0
pm_highTemp.txt:1783,005,1.0
pm_highTemp.txt:1818,002,1.0
pm_highTemp.txt:1853,001,1.0
pm_highTemp.txt:1888,002,1.0
pm_highTemp.txt:1923,001,1.0
pm_highTemp.txt:1958,001,1.0
pm_highTemp.txt:1993,001,1.0
pm_highTemp.txt:2028,000,0.513105
pm_highTemp.txt:2028,001,0.486895
pm_highTemp.txt:2063,000,1.0
pm_highTemp.txt:2098,001,1.0
pm_highTemp.txt:2133,000,1.0
pm_highTemp.txt:2168,001,1.0
pm_highTemp.txt:2203,005,1.0
pm_highTemp.txt:2238,002,1.0
