topic,term,weight
000,party,0.11604024
000,labor,0.10742267
000,liberal,0.027426314
000,vote,0.012706721
000,announce,0.01322486
000,project,0.012308365
000,future,0.011554614
000,budget,0.017026275
000,council,0.0076298635
000,government,0.01659551
001,work,0.047850803
001,continue,0.039629433
001,deliver,0.014740103
001,parliament,0.011861371
001,manage,0.0131136635
001,job,0.013462022
001,issue,0.011368238
001,we’ll,0.010302196
001,closely,0.0083959075
001,project,0.011196451
002,time,0.05434491
002,long,0.0288561
002,country,0.030066852
002,nomination,0.01857658
002,work,0.021538042
002,close,0.016427131
002,we’ve,0.017521001
002,business,0.016141169
002,trust,0.012193355
002,support,0.016046194
003,government,0.0616796
003,that’s,0.029666418
003,achieve,0.0124122435
003,territory,0.009548724
003,invest,0.011060995
003,work,0.012206221
003,ensure,0.008142151
003,decision,0.009719089
003,long,0.00905088
003,investment,0.00665219
004,we’re,0.06118297
004,make,0.057944577
004,that’s,0.05118827
004,government,0.031893
004,business,0.022646043
004,family,0.018189957
004,party,0.02012858
004,basis,0.0144526055
004,opportunity,0.013890918
004,future,0.0141993165
005,billion,0.013554807
005,secure,0.0060464055
005,past,0.005769305
005,dollar,0.0055956077
005,i’ve,0.0060371864
005,service,0.0053254087
005,important,0.008837859
005,drive,0.004689669
005,ago,0.010360987
005,change,0.004717102
006,year,0.08469663
006,ago,0.069394834
006,week,0.04450047
006,australian,0.032591198
006,past,0.019226901
006,couple,0.019620027
006,half,0.01776162
006,home,0.0174209
006,fair,0.016857835
006,light,0.014504399
007,growth,0.05790529
007,plan,0.052712888
007,population,0.04856355
007,manage,0.044091236
007,continue,0.025495151
007,day,0.016713405
007,economic,0.015823962
007,money,0.015963499
007,area,0.013376792
007,tax,0.012386212
008,australian,0.1311902
008,people,0.08536524
008,safe,0.06002412
008,decision,0.034107342
008,rely,0.027975995
008,keep,0.017553141
008,woman,0.013922774
008,plan,0.018279597
008,economy,0.02561497
008,year,0.017331189
009,government,0.11125624
009,economy,0.063129246
009,make,0.059605528
009,that’s,0.039611746
009,we’re,0.025993662
009,achieve,0.023222534
009,thai,0.022701852
009,territory,0.014110846
009,visa,0.011829818
009,intend,0.010175985
010,we’re,0.034225207
010,queensland,0.008181593
010,world,0.011432622
010,smuggler,0.008050769
010,election,0.00908026
010,north,0.007631782
010,liberal,0.008253329
010,community,0.008316388
010,put,0.0076899305
010,island,0.0077749714
011,business,0.081058376
011,small,0.064153016
011,family,0.031513214
011,i’m,0.028755816
011,time,0.03482535
011,support,0.021268426
011,long,0.019421218
011,we’re,0.019353345
011,job,0.017902214
011,occurrence,0.013752979
012,great,0.07415926
012,thing,0.08784172
012,economy,0.049738802
012,year,0.030623773
012,make,0.032300103
012,i’ve,0.020834496
012,love,0.018706257
012,big,0.017958544
012,week,0.016642362
012,issue,0.014760761
013,high,0.045064025
013,low,0.01671777
013,target,0.020192254
013,increase,0.011188069
013,budget,0.014750187
013,provide,0.0054343943
013,chat’s,0.004520473
013,court,0.004415255
013,christmas,0.005252335
013,home,0.0054179556
014,protection,0.1284647
014,border,0.11573011
014,regime,0.048883542
014,robe,0.02137696
014,australia,0.024590759
014,framework,0.016081937
014,policy,0.017736277
014,we’ll,0.015843641
014,operation,0.015202189
014,successful,0.015413656
015,that’s,0.08374164
015,invest,0.01421726
015,work,0.017284425
015,investment,0.007963459
015,support,0.011385358
015,decision,0.010239345
015,job,0.010531078
015,keep,0.006121097
015,wede,0.005061106
015,young,0.004916947
016,budget,0.030929597
016,long,0.0153658185
016,work,0.017182589
016,world,0.014990062
016,deliver,0.010712653
016,plan,0.013804398
016,fair,0.009765088
016,country,0.018689023
016,make,0.01676266
016,period,0.00709326
017,strong,0.28708863
017,economy,0.10502179
017,country,0.065215886
017,that’s,0.062062845
017,australian,0.042547505
017,forward,0.032917447
017,we’ve,0.031828105
017,support,0.018986199
017,place,0.01673619
017,today,0.02274565
018,economy,0.056780428
018,issue,0.023312189
018,border,0.022733323
018,liberal,0.013182574
018,project,0.012034467
018,successful,0.00989393
018,social,0.008270371
018,queensland,0.007945011
018,safe,0.0107606845
018,happy,0.0071968865
019,target,0.16448233
019,emission,0.15077776
019,reduction,0.14106952
019,high,0.045826007
019,meet,0.03545126
019,acknowledge,0.020957502
019,low,0.019799598
019,pretty,0.016449062
019,reckless,0.016164826
019,good,0.0149325915
020,today,0.24547206
020,that’s,0.070411295
020,country,0.054741103
020,thing,0.061158184
020,make,0.04564354
020,announce,0.033935577
020,support,0.03159569
020,project,0.025006961
020,i’m,0.023690496
020,people,0.04037887
021,back,0.1756175
021,budget,0.14730258
021,balance,0.11749172
021,surplus,0.093817204
021,we’ve,0.031131046
021,party,0.028472736
021,deal,0.0246335
021,labor,0.027400272
021,continue,0.024737328
021,economy,0.030291954
022,taxis,0.048576795
022,emission,0.026423547
022,part,0.016883187
022,place,0.013359547
022,world,0.013919379
022,deal,0.012476287
022,decision,0.012715149
022,position,0.010107106
022,successful,0.009833481
022,process,0.0077939047
023,high,0.27658537
023,taxis,0.21586202
023,billion,0.19297566
023,low,0.052120954
023,invest,0.040839445
023,increase,0.03784976
023,construction,0.027812248
023,series,0.024325201
023,tonne,0.023014206
023,macifuts,0.011541531
024,it’s,0.3181353
024,thing,0.23331422
024,people,0.19280344
024,country,0.05150411
024,thrill,0.03850503
024,safe,0.03680741
024,make,0.03468764
024,don’t,0.018152906
024,issue,0.01468537
024,rely,0.013459452
025,great,0.068109505
025,money,0.025139228
025,achieve,0.022150798
025,border,0.021229455
025,message,0.013213323
025,small,0.016362797
025,commitment,0.012756853
025,policy,0.013175357
025,stand,0.011641586
025,growth,0.013647411
026,great,0.06685178
026,australia,0.053144008
026,balance,0.026266815
026,job,0.020629387
026,money,0.018521504
026,policy,0.017610423
026,view,0.014445519
026,thai,0.01570925
026,surplus,0.017660046
026,commonwealth,0.013926674
027,it’s,0.30495542
027,western,0.19650322
027,people,0.20804118
027,thing,0.19964539
027,australia,0.090854794
028,ago,0.06582136
028,place,0.04368672
028,week,0.039697688
028,important,0.03765592
028,security,0.030506264
028,jon,0.026689528
028,couple,0.026601247
028,island,0.02450943
028,budget,0.028875098
028,forward,0.020986367
029,prime,0.6938376
029,time,0.25100595
029,minister,0.040859614
029,city,0.014296868
