remark,context_label
"And in that spirit of congratulations I'll just acknowledge Bec White, Tasmanian Labor leader. She certainly convinced us of the importance of investing in Tasmanian tourism. I'm not sure her counterpart has had the same success today in convincing the current Prime Minister to back in Tassie like we are.",shorten
"Well first of all I think it's long overdue for our First Australians to be in the nation's birth certificate, the Constitution. I think that we've left it too long. Now, what we will do is listen to the Uluru Statement from the Heart and we will argue the case for a voice. It will be a fully formed proposition. As for scare campaigns, we've already seen some in the right wing, in the extreme right wing already start to complain about including First Australians in the Constitution. We're up for the argument. In terms of an Australian head of state, yes Australia should have an Australian head of state. But we have said that what we want to have is the referendum on the voice first of all.",shorten
"We've actually set quite a lot aside and without taking too long on this interview I congratulate the work of Joel Fitzgibbon. We'll have a look at what the government said today and if it makes sense we'll do it. Because we don't approach this sort of negativity of the Government where as soon as one side of politics has an idea the other side has got to get out a big stick and whack it. So we'll have a look at that. But in addition, we've already offered $100 million for drought relief. We've also said that when it comes to central Queensland, that we will invest in the Rookwood weir which is going to open up 2,000 agricultural jobs. In Tasmania as well, I was down here a little while ago and we said that we would do tranche 3 of the irrigation projects, $100 million, which will assist to open up new land and provide greater productivity for farmers. So we're up for helping. And also, just for dairy farmers who have been doing it hard, we want to set a floor price for milk, which will be great assistance for them when they're dealing with the processes.",shorten
"Well, Penny Wong dealt with this question comprehensively yesterday. I'm happy to go to the key points she said. If it wasn't because of a work-shy and lazy conservative government these laws may well have already been passed. But as you know, what we've got is a government in Canberra who has organised Parliament to sit for 10 days in eight months so no wonder we get didn't get to it. In terms of the actual security law what normally happens is that a parliamentary committee looks at the laws and we've got a unanimous position, both Labor and the others, so there's no reason why we couldn't do it in the first week back. But let's go back to the reason why we don't have it. The Morrison government cancelled Parliament so many times, they didn't want to sit, they're work-shy. So if Mr Morrison is looking to blame someone for a failure of national security, he should buy a mirror because that's the face he should blame.",shorten
"Well, let's go to the heart of the matter. I think it’s wrong that we don't have our First Australians in our Constitution. I guess you’d probably agree with me. Isn't it time in Australia that after 120 years that we actually said that Aboriginal and Torres Strait Islanders should be in our Constitution? So I think it's not so much the difficulty of the debate but why don't we put just some of our Australians and give them the same recognition that all other Australians have. In terms of the head of state business, we’ve said we'd have a plebiscite not a full referendum in our first term. But we will advance on recognition of our First Australians. But that's not all that we're going to do. We want to close the gap. Your skin colour in this country should not be the reason why you do better or worse. So I think it's not a question of symbolic recognition or practical work, it’s about doing all of it. We'll work with people and this goes to the broader issues in these elections. The Morrison government, by its desperate deals with extreme right wing parties, is promising us if they get elected, a return to the chaos, a return to the cuts of the last six years. I mean, what we see is it won't just be Constitutional recognition of our First Australians which becomes endangered. It will be the whole business of government. Imagine what we won't get done in this country under a Morrison-Palmer-Hanson Government. This is a government who is, you know, there's an old saying and I think that Mr Morrison is going to learn the truth of this in this election campaign, that if you lie down with dogs, you’re going to get up with fleas.",shorten
"First of all, whether or not there were conversations, I would not sign off on any deal with Mr Palmer until he resolves the issue of the tens of millions of dollars that he owes taxpayers and workers. Now I’m not going to be like Mr Morrison who sort of very coyly pretends he doesn't know what’s going on in the administrative wing of his party. A deal like that, the leader’s got to be aware of. And I think that Mr Morrison’s got to come clean on what he’s promised Mr Palmer. Are we really to believe that when you do a deal with Mr Palmer he just gives you something for free? That is not that gentleman's track record. That is not that gentleman’s track record. So if there have been conversations to find out what Mr Palmer is up to, well that is as it is. But no deals from Labor. Because, and I think it's a legitimate question which you should be asking Mr Morrison, what arrangements has he made to get from Mr Palmer the hundreds of millions of dollars that he owes the Commonwealth and owes the debtors? How is it that this bloke, this Mr Morrison who’s always up on the high ground, always on his soap box, you know, parading his morality, yet you know, when it comes to doing a deal with Mr Palmer, he puts all of that aside, gets to the bottom of the barrel. What is Mr Morrison doing as the prime minister, doing a deal with Mr Palmer, when Mr Palmer owes his workers and owes taxpayers tens of millions of dollars? I’d like to get Anthony’s take on this, because he has done negotiations, not on the preferences, but with some of these crazy crossbenchers who the government keeps trying to desperately prop up.",shorten
"First of all the election is not over. And what we're warning Australians is you have now seen, Mr Morrison has shown his hand. A vote for Scott Morrison is a vote for Clive Palmer and Pauline Hanson. What we now see is the prospect, if they are successful, of the most extreme right-wing government in Australia's history. We see the prospect of the most chaotic, risky government in Australia's history. Does anyone really believe that when you sit down with One Nation or you sit down with Palmer, that they're just giving preferences, One Nation and Palmer, to the Liberal Party and the LNP out of the goodness of their heart? That somehow it's an act of charity? Of course it's not. And the question you have got to ask the government, is what promises have been made. Do we have to water down our gun laws? Do we have to forgive Clive Palmer's debt which he owes the taxpayers and the workers? What is the deal. I mean old Morrison here, he's a very sneaky operator. I mean you could ask Malcolm Turnbull that. But he is a sneaky operator. In Melbourne and in Sydney and in Hobart and Launceston he says Oh no, we don't like One Nation, we'll put them below Labor. But up in Queensland where it really matters, he's given a sly nudge and a wink to his mate the Deputy Prime Minister, the Nationals, and to his party in Queensland you can do whatever deal you want. Well that's not on. The real issue here is do Australians want the prospect of the next three years of cuts, chaos, desperate behaviour by the Morrison-Palmer-Hanson government.",shorten
"First of all, yesterday Channel Two said what about us, and Channel Nine said what about us, and you complained about Channel Seven had an interview and Sky. So I thought the neatest and cleanest solution was to have you all in the same room at the National Press Club. We're happy to do it at lunch time. The good news is they have invented i-view. They can play it in the evening if you want to. We are happy to debate. But the other point is if we are going to talk about debates how have you gone finding Melissa Price? There should be a search party sent out to check on her whereabouts. Because we haven't had a debate on the environment or climate change between their ministers. And have they got the Minister for Industrial Relations out of witness protection? Where's the wages policy debate? And apparently Dan Tehan won't do one debate with Tanya Plibersek.",shorten
[inaudible],shorten
"Why is it that Liberals whenever they see a new idea, a good idea, find an excuse not to do it? Let's talk about it. When the Liberals say that Tasmania shouldn't get some AFL funding, they need to explain why they are running around on mainland Australia providing AFL funding for the Swans, providing AFL funding for Collingwood. This is a government, a Liberal government nationally who wants to treat Tassie as second class. But let's go to some of the issues which we think are in touch. Jobs are an in touch issue. This will generate jobs. But what I also think is an in touch issue where the Liberals are nowhere within any close range of us is health funding. Did you know that we have already announced $100 million-plus of specific health projects for Tasmania. Because we don't think that Tasmanians because they live in Tasmania should have longer waiting lists than the mainland. Because we think that in Tasmania if you've got a diagnosis of cancer, you should be able to access metastatic cancer nurses just like they can elsewhere. Prostate nurses just like they can elsewhere. And when you look at what we are doing on health, that's just specific projects. Did you know because of our $2.8 billion hospital fund, we're going to see greater investment and reverse the cuts to Tasmanian hospitals that have occurred? Did you know because of our $2.3 billion plan to turbocharge Medicare, to help practically remove a lot of the out of pocket costs for cancer treatment, that is going to be of massive benefit to Tasmanians. And of course, let's not forget Labor's commitment to restore and start increasing the patient rebate when you go and see the GP. When you look at it, when it comes from tourism and jobs, when it comes to providing Tasmania some equal status in grassroots footy as they do on the mainland, or indeed to a fundamental issue like health, Labor has got all points over the Liberals. Maybe what the Tasmanian Liberals should do is rather than being a cheer squad for cuts and chaos to Tasmania from Canberra, maybe they should take a leaf out of Bec White's book and start fighting for Tasmania. Thank you, catch you soon.",shorten
